sample_col_name,INDEX,FILE_NAME,FILE_CODE,SAMPLE_NAME,LABEL,SEQUENCE,sample_type,batch_id,group_label
001 / burnin,1,20200306_ecoli_4GHz_0001.d,20200320153438786-2492331,burnin1,burnin,P001:001 seq1 control,burnin,Batch7_0306 DATA,burnin
002 / burnin,2,20200306_ecoli_4GHz_0002.d,20200320153439999-2492332,burnin2,burnin,P001:002 seq1 control,burnin,Batch7_0306 DATA,burnin
003 / burnin,3,20200306_ecoli_4GHz_0003.d,20200320153441151-2492333,burnin3,burnin,P001:003 seq1 control,burnin,Batch7_0306 DATA,burnin
004 / burnin,4,20200306_ecoli_4GHz_0004.d,20200320153442294-2492334,burnin4,burnin,P001:004 seq1 control,burnin,Batch7_0306 DATA,burnin
005 / burnin,5,20200306_ecoli_4GHz_0005.d,20200320153443355-2492335,burnin5,burnin,P001:005 seq1 control,burnin,Batch7_0306 DATA,burnin
006 / water,6,20200306_ecoli_4GHz_0006.d,20200320153444411-2492336,ctrl_p01_c1,water,P001:006 seq1 control,water,Batch7_0306 DATA,water
007 / water,7,20200306_ecoli_4GHz_0007.d,20200320153445547-2492337,ctrl_p01_c2,water,P001:007 seq1 control,water,Batch7_0306 DATA,water
008 / P1_PP_0001,8,20200306_ecoli_4GHz_0008.d,20200320153446528-2492338,20200306_Plate1_071,P1_PP_0001,P001:008 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0001
009 / P1_PP_0001,9,20200306_ecoli_4GHz_0009.d,20200320153447753-2492339,20200306_Plate1_071,P1_PP_0001,P001:009 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0001
010 / P1_PP_0001,10,20200306_ecoli_4GHz_0010.d,20200320153449204-2492340,20200306_Plate1_071,P1_PP_0001,P001:010 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0001
011 / water,11,20200306_ecoli_4GHz_0011.d,20200320153450254-2492341,ctrl_p01_c1,water,P001:011 seq1 control,water,Batch7_0306 DATA,water
012 / water,12,20200306_ecoli_4GHz_0012.d,20200320153451367-2492342,ctrl_p01_c2,water,P001:012 seq1 control,water,Batch7_0306 DATA,water
013 / P1_Bio_0008,13,20200306_ecoli_4GHz_0013.d,20200320153452464-2492343,20200306_Plate1_032,P1_Bio_0008,P001:013 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0008
014 / P1_Bio_0008,14,20200306_ecoli_4GHz_0014.d,20200320153453628-2492344,20200306_Plate1_032,P1_Bio_0008,P001:014 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0008
015 / P1_Bio_0008,15,20200306_ecoli_4GHz_0015.d,20200320153454920-2492345,20200306_Plate1_032,P1_Bio_0008,P001:015 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0008
016 / water,16,20200306_ecoli_4GHz_0016.d,20200320153456068-2492346,ctrl_p01_c1,water,P001:016 seq1 control,water,Batch7_0306 DATA,water
017 / water,17,20200306_ecoli_4GHz_0017.d,20200320153457179-2492347,ctrl_p01_c2,water,P001:017 seq1 control,water,Batch7_0306 DATA,water
018 / P1_PP_0128,18,20200306_ecoli_4GHz_0018.d,20200320153458303-2492348,20200306_Plate1_079,P1_PP_0128,P001:018 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0128
019 / P1_PP_0128,19,20200306_ecoli_4GHz_0019.d,20200320153459440-2492349,20200306_Plate1_079,P1_PP_0128,P001:019 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0128
020 / P1_PP_0128,20,20200306_ecoli_4GHz_0020.d,20200320153500506-2492350,20200306_Plate1_079,P1_PP_0128,P001:020 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0128
021 / water,21,20200306_ecoli_4GHz_0021.d,20200320153501645-2492351,ctrl_p01_c1,water,P001:021 seq1 control,water,Batch7_0306 DATA,water
022 / P1_FA_0032,22,20200306_ecoli_4GHz_0022.d,20200320153502770-2492352,20200306_Plate1_062,P1_FA_0032,P001:023 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0032
023 / P1_FA_0032,23,20200306_ecoli_4GHz_0023.d,20200320153503787-2492353,20200306_Plate1_062,P1_FA_0032,P001:024 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0032
024 / P1_FA_0032,24,20200306_ecoli_4GHz_0024.d,20200320153504903-2492354,20200306_Plate1_062,P1_FA_0032,P001:025 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0032
025 / water,25,20200306_ecoli_4GHz_0025.d,20200320153505960-2492355,ctrl_p01_c1,water,P001:026 seq1 control,water,Batch7_0306 DATA,water
026 / water,26,20200306_ecoli_4GHz_0026.d,20200320153507068-2492356,ctrl_p01_c2,water,P001:027 seq1 control,water,Batch7_0306 DATA,water
027 / P1_Bio_2048,27,20200306_ecoli_4GHz_0027.d,20200320153508218-2492357,20200306_Plate1_041,P1_Bio_2048,P001:028 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_2048
028 / P1_Bio_2048,28,20200306_ecoli_4GHz_0028.d,20200320153509306-2492358,20200306_Plate1_041,P1_Bio_2048,P001:029 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_2048
029 / P1_Bio_2048,29,20200306_ecoli_4GHz_0029.d,20200320153510475-2492359,20200306_Plate1_041,P1_Bio_2048,P001:030 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_2048
030 / water,30,20200306_ecoli_4GHz_0030.d,20200320153511599-2492360,ctrl_p01_c1,water,P001:036 seq1 control,water,Batch7_0306 DATA,water
031 / water,31,20200306_ecoli_4GHz_0031.d,20200320153512717-2492361,ctrl_p01_c2,water,P001:037 seq1 control,water,Batch7_0306 DATA,water
032 / P1_AA_0016,32,20200306_ecoli_4GHz_0032.d,20200320153513788-2492362,20200306_Plate1_047,P1_AA_0016,P001:038 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0016
033 / P1_AA_0016,33,20200306_ecoli_4GHz_0033.d,20200320153514947-2492363,20200306_Plate1_047,P1_AA_0016,P001:039 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0016
034 / P1_AA_0016,34,20200306_ecoli_4GHz_0034.d,20200320153516035-2492364,20200306_Plate1_047,P1_AA_0016,P001:040 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0016
035 / water,35,20200306_ecoli_4GHz_0035.d,20200320153517114-2492365,ctrl_p01_c1,water,P001:041 seq1 control,water,Batch7_0306 DATA,water
036 / water,36,20200306_ecoli_4GHz_0036.d,20200320153518201-2492366,ctrl_p01_c2,water,P001:042 seq1 control,water,Batch7_0306 DATA,water
037 / P1_Bio_0064,37,20200306_ecoli_4GHz_0037.d,20200320153519316-2492367,20200306_Plate1_036,P1_Bio_0064,P001:043 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0064
038 / P1_Bio_0064,38,20200306_ecoli_4GHz_0038.d,20200320153520413-2492368,20200306_Plate1_036,P1_Bio_0064,P001:044 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0064
039 / P1_Bio_0064,39,20200306_ecoli_4GHz_0039.d,20200320153521550-2492369,20200306_Plate1_036,P1_Bio_0064,P001:045 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0064
040 / water,40,20200306_ecoli_4GHz_0040.d,20200320153522614-2492370,ctrl_p01_c2,water,P001:047 seq1 control,water,Batch7_0306 DATA,water
041 / P1_FA_0001,41,20200306_ecoli_4GHz_0041.d,20200320153523670-2492371,20200306_Plate1_057,P1_FA_0001,P001:048 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0001
042 / P1_FA_0001,42,20200306_ecoli_4GHz_0042.d,20200320153524821-2492372,20200306_Plate1_057,P1_FA_0001,P001:049 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0001
043 / P1_FA_0001,43,20200306_ecoli_4GHz_0043.d,20200320153525946-2492373,20200306_Plate1_057,P1_FA_0001,P001:050 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0001
044 / water,44,20200306_ecoli_4GHz_0044.d,20200320153527009-2492374,ctrl_p01_c1,water,P001:051 seq1 control,water,Batch7_0306 DATA,water
045 / water,45,20200306_ecoli_4GHz_0045.d,20200320153528165-2492375,ctrl_p01_c2,water,P001:052 seq1 control,water,Batch7_0306 DATA,water
046 / P1_FA_0256,46,20200306_ecoli_4GHz_0046.d,20200320153529343-2492376,20200306_Plate1_066,P1_FA_0256,P001:053 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0256
047 / P1_FA_0256,47,20200306_ecoli_4GHz_0047.d,20200320153530420-2492377,20200306_Plate1_066,P1_FA_0256,P001:054 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0256
048 / P1_FA_0256,48,20200306_ecoli_4GHz_0048.d,20200320153531523-2492378,20200306_Plate1_066,P1_FA_0256,P001:055 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0256
049 / water,49,20200306_ecoli_4GHz_0049.d,20200320153532646-2492379,ctrl_p01_c1,water,P001:056 seq1 control,water,Batch7_0306 DATA,water
050 / P1_Bio_1024,50,20200306_ecoli_4GHz_0050.d,20200320153533772-2492380,20200306_Plate1_040,P1_Bio_1024,P001:058 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_1024
051 / P1_Bio_1024,51,20200306_ecoli_4GHz_0051.d,20200320153534813-2492381,20200306_Plate1_040,P1_Bio_1024,P001:059 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_1024
052 / P1_Bio_1024,52,20200306_ecoli_4GHz_0052.d,20200320153535823-2492382,20200306_Plate1_040,P1_Bio_1024,P001:060 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_1024
053 / P1_Full_0001,53,20200306_ecoli_4GHz_0053.d,20200320153536905-2492383,20200306_Plate1_015,P1_Full_0001,P001:063 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0001
054 / P1_Full_0001,54,20200306_ecoli_4GHz_0054.d,20200320153538061-2492384,20200306_Plate1_015,P1_Full_0001,P001:064 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0001
055 / P1_Full_0001,55,20200306_ecoli_4GHz_0055.d,20200320153539243-2492385,20200306_Plate1_015,P1_Full_0001,P001:065 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0001
056 / water,56,20200306_ecoli_4GHz_0056.d,20200320153540350-2492386,ctrl_p01_c1,water,P001:066 seq1 control,water,Batch7_0306 DATA,water
057 / water,57,20200306_ecoli_4GHz_0057.d,20200320153541445-2492387,ctrl_p01_c2,water,P001:067 seq1 control,water,Batch7_0306 DATA,water
058 / P1_AA_0008,58,20200306_ecoli_4GHz_0058.d,20200320153542507-2492388,20200306_Plate1_046,P1_AA_0008,P001:068 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0008
059 / P1_AA_0008,59,20200306_ecoli_4GHz_0059.d,20200320153543610-2492389,20200306_Plate1_046,P1_AA_0008,P001:069 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0008
060 / P1_AA_0008,60,20200306_ecoli_4GHz_0060.d,20200320153544633-2492390,20200306_Plate1_046,P1_AA_0008,P001:070 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0008
061 / water,61,20200306_ecoli_4GHz_0061.d,20200320153545662-2492391,ctrl_p01_c1,water,P001:071 seq1 control,water,Batch7_0306 DATA,water
062 / water,62,20200306_ecoli_4GHz_0062.d,20200320153546670-2492392,ctrl_p01_c2,water,P001:072 seq1 control,water,Batch7_0306 DATA,water
063 / P1_Full_0256,63,20200306_ecoli_4GHz_0063.d,20200320153547645-2492393,20200306_Plate1_024,P1_Full_0256,P001:073 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0256
064 / P1_Full_0256,64,20200306_ecoli_4GHz_0064.d,20200320153548687-2492394,20200306_Plate1_024,P1_Full_0256,P001:074 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0256
065 / P1_Full_0256,65,20200306_ecoli_4GHz_0065.d,20200320153549768-2492395,20200306_Plate1_024,P1_Full_0256,P001:075 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0256
066 / water,66,20200306_ecoli_4GHz_0066.d,20200320153550770-2492396,ctrl_p01_c1,water,P001:076 seq1 control,water,Batch7_0306 DATA,water
067 / P1_Bio_0128,67,20200306_ecoli_4GHz_0067.d,20200320153551865-2492397,20200306_Plate1_037,P1_Bio_0128,P001:078 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0128
068 / P1_Bio_0128,68,20200306_ecoli_4GHz_0068.d,20200320153552905-2492398,20200306_Plate1_037,P1_Bio_0128,P001:079 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0128
069 / P1_Bio_0128,69,20200306_ecoli_4GHz_0069.d,20200320153553956-2492399,20200306_Plate1_037,P1_Bio_0128,P001:080 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0128
070 / water,70,20200306_ecoli_4GHz_0070.d,20200320153554960-2492400,ctrl_p01_c1,water,P001:081 seq1 control,water,Batch7_0306 DATA,water
071 / P1_SRM_0256,71,20200306_ecoli_4GHz_0071.d,20200320153555964-2492401,20200306_Plate1_010,P1_SRM_0256,P001:083 seq1,srm,Batch7_0306 DATA,P1_SRM_0256
072 / P1_SRM_0256,72,20200306_ecoli_4GHz_0072.d,20200320153556984-2492402,20200306_Plate1_010,P1_SRM_0256,P001:084 seq1,srm,Batch7_0306 DATA,P1_SRM_0256
073 / P1_SRM_0256,73,20200306_ecoli_4GHz_0073.d,20200320153558040-2492403,20200306_Plate1_010,P1_SRM_0256,P001:085 seq1,srm,Batch7_0306 DATA,P1_SRM_0256
074 / water,74,20200306_ecoli_4GHz_0074.d,20200320153559088-2492404,ctrl_p01_c1,water,P001:086 seq1 control,water,Batch7_0306 DATA,water
075 / water,75,20200306_ecoli_4GHz_0075.d,20200320153600184-2492405,ctrl_p01_c1,water,P001:101 seq1 control,water,Batch7_0306 DATA,water
076 / water,76,20200306_ecoli_4GHz_0076.d,20200320153601344-2492406,ctrl_p01_c2,water,P001:102 seq1 control,water,Batch7_0306 DATA,water
077 / P1_SRM_0032,77,20200306_ecoli_4GHz_0077.d,20200320153602375-2492407,20200306_Plate1_006,P1_SRM_0032,P001:103 seq1,srm,Batch7_0306 DATA,P1_SRM_0032
078 / P1_SRM_0032,78,20200306_ecoli_4GHz_0078.d,20200320153603517-2492408,20200306_Plate1_006,P1_SRM_0032,P001:104 seq1,srm,Batch7_0306 DATA,P1_SRM_0032
079 / P1_SRM_0032,79,20200306_ecoli_4GHz_0079.d,20200320153604676-2492409,20200306_Plate1_006,P1_SRM_0032,P001:105 seq1,srm,Batch7_0306 DATA,P1_SRM_0032
080 / water,80,20200306_ecoli_4GHz_0080.d,20200320153605785-2492410,ctrl_p01_c1,water,P001:106 seq1 control,water,Batch7_0306 DATA,water
081 / water,81,20200306_ecoli_4GHz_0081.d,20200320153606866-2492411,ctrl_p01_c2,water,P001:107 seq1 control,water,Batch7_0306 DATA,water
082 / P1_FA_0002,82,20200306_ecoli_4GHz_0082.d,20200320153607976-2492412,20200306_Plate1_058,P1_FA_0002,P001:108 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0002
083 / P1_FA_0002,83,20200306_ecoli_4GHz_0083.d,20200320153609029-2492413,20200306_Plate1_058,P1_FA_0002,P001:109 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0002
084 / P1_FA_0002,84,20200306_ecoli_4GHz_0084.d,20200320153610049-2492414,20200306_Plate1_058,P1_FA_0002,P001:110 seq1,formal_or_unknown,Batch7_0306 DATA,P1_FA_0002
085 / water,85,20200306_ecoli_4GHz_0085.d,20200320153611209-2492415,ctrl_p01_c1,water,P001:111 seq1 control,water,Batch7_0306 DATA,water
086 / water,86,20200306_ecoli_4GHz_0086.d,20200320153612338-2492416,ctrl_p01_c2,water,P001:112 seq1 control,water,Batch7_0306 DATA,water
087 / P1_Bio_0512,87,20200306_ecoli_4GHz_0087.d,20200320153613481-2492417,20200306_Plate1_039,P1_Bio_0512,P001:113 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0512
088 / P1_Bio_0512,88,20200306_ecoli_4GHz_0088.d,20200320153614555-2492418,20200306_Plate1_039,P1_Bio_0512,P001:114 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0512
089 / P1_Bio_0512,89,20200306_ecoli_4GHz_0089.d,20200320153615713-2492419,20200306_Plate1_039,P1_Bio_0512,P001:115 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Bio_0512
090 / water,90,20200306_ecoli_4GHz_0090.d,20200320153616947-2492420,ctrl_p01_c2,water,P001:117 seq1 control,water,Batch7_0306 DATA,water
091 / P1_Full_1024,91,20200306_ecoli_4GHz_0091.d,20200320153617966-2492421,20200306_Plate1_026,P1_Full_1024,P001:118 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_1024
092 / P1_Full_1024,92,20200306_ecoli_4GHz_0092.d,20200320153618994-2492422,20200306_Plate1_026,P1_Full_1024,P001:119 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_1024
093 / P1_Full_1024,93,20200306_ecoli_4GHz_0093.d,20200320153620035-2492423,20200306_Plate1_026,P1_Full_1024,P001:120 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_1024
094 / P1_Full_0002,94,20200306_ecoli_4GHz_0094.d,20200320153621098-2492424,20200306_Plate1_016,P1_Full_0002,P001:123 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0002
095 / P1_Full_0002,95,20200306_ecoli_4GHz_0095.d,20200320153622175-2492425,20200306_Plate1_016,P1_Full_0002,P001:124 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0002
096 / P1_Full_0002,96,20200306_ecoli_4GHz_0096.d,20200320153623287-2492426,20200306_Plate1_016,P1_Full_0002,P001:125 seq1,formal_or_unknown,Batch7_0306 DATA,P1_Full_0002
097 / water,97,20200306_ecoli_4GHz_0097.d,20200320153624291-2492427,ctrl_p01_c1,water,P001:126 seq1 control,water,Batch7_0306 DATA,water
098 / water,98,20200306_ecoli_4GHz_0098.d,20200320153625318-2492428,ctrl_p01_c2,water,P001:127 seq1 control,water,Batch7_0306 DATA,water
099 / P1_PP_0008,99,20200306_ecoli_4GHz_0099.d,20200320153626344-2492429,20200306_Plate1_074,P1_PP_0008,P001:128 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0008
100 / P1_PP_0008,100,20200306_ecoli_4GHz_0100.d,20200320153627398-2492430,20200306_Plate1_074,P1_PP_0008,P001:129 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0008
101 / P1_PP_0008,101,20200306_ecoli_4GHz_0101.d,20200320153628440-2492431,20200306_Plate1_074,P1_PP_0008,P001:130 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0008
102 / water,102,20200306_ecoli_4GHz_0102.d,20200320153629464-2492432,ctrl_p01_c1,water,P001:131 seq1 control,water,Batch7_0306 DATA,water
103 / water,103,20200306_ecoli_4GHz_0103.d,20200320153630449-2492433,ctrl_p01_c2,water,P001:132 seq1 control,water,Batch7_0306 DATA,water
104 / P1_PP_0512,104,20200306_ecoli_4GHz_0104.d,20200320153631524-2492434,20200306_Plate1_081,P1_PP_0512,P001:133 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0512
105 / P1_PP_0512,105,20200306_ecoli_4GHz_0105.d,20200320153632496-2492435,20200306_Plate1_081,P1_PP_0512,P001:134 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0512
106 / P1_PP_0512,106,20200306_ecoli_4GHz_0106.d,20200320153633444-2492436,20200306_Plate1_081,P1_PP_0512,P001:135 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0512
107 / water,107,20200306_ecoli_4GHz_0107.d,20200320153634459-2492437,ctrl_p01_c2,water,P001:137 seq1 control,water,Batch7_0306 DATA,water
108 / P1_SRM_0008,108,20200306_ecoli_4GHz_0108.d,20200320153635488-2492438,20200306_Plate1_004,P1_SRM_0008,P001:138 seq1,srm,Batch7_0306 DATA,P1_SRM_0008
109 / P1_SRM_0008,109,20200306_ecoli_4GHz_0109.d,20200320153636628-2492439,20200306_Plate1_004,P1_SRM_0008,P001:139 seq1,srm,Batch7_0306 DATA,P1_SRM_0008
110 / P1_SRM_0008,110,20200306_ecoli_4GHz_0110.d,20200320153637833-2492440,20200306_Plate1_004,P1_SRM_0008,P001:140 seq1,srm,Batch7_0306 DATA,P1_SRM_0008
111 / water,111,20200306_ecoli_4GHz_0111.d,20200320153638966-2492441,ctrl_p01_c1,water,P001:141 seq1 control,water,Batch7_0306 DATA,water
112 / water,112,20200306_ecoli_4GHz_0112.d,20200320153640102-2492442,ctrl_p01_c2,water,P001:142 seq1 control,water,Batch7_0306 DATA,water
113 / P1_AA_0128,113,20200306_ecoli_4GHz_0113.d,20200320153641194-2492443,20200306_Plate1_051,P1_AA_0128,P001:143 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0128
114 / P1_AA_0128,114,20200306_ecoli_4GHz_0114.d,20200320153642349-2492444,20200306_Plate1_051,P1_AA_0128,P001:144 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0128
115 / P1_AA_0128,115,20200306_ecoli_4GHz_0115.d,20200320153643450-2492445,20200306_Plate1_051,P1_AA_0128,P001:145 seq1,formal_or_unknown,Batch7_0306 DATA,P1_AA_0128
116 / water,116,20200306_ecoli_4GHz_0116.d,20200320153644624-2492446,ctrl_p01_c1,water,P001:146 seq1 control,water,Batch7_0306 DATA,water
117 / P1_PP_0004,117,20200306_ecoli_4GHz_0117.d,20200320153645703-2492447,20200306_Plate1_073,P1_PP_0004,P001:148 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0004
118 / P1_PP_0004,118,20200306_ecoli_4GHz_0118.d,20200320153646821-2492448,20200306_Plate1_073,P1_PP_0004,P001:149 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0004
119 / P1_PP_0004,119,20200306_ecoli_4GHz_0119.d,20200320153647934-2492449,20200306_Plate1_073,P1_PP_0004,P001:150 seq1,formal_or_unknown,Batch7_0306 DATA,P1_PP_0004
120 / water,120,20200306_ecoli_4GHz_0120.d,20200320153649106-2492450,ctrl_p01_c1,water,P001:151 seq1 control,water,Batch7_0306 DATA,water
121 / water,121,20200306_ecoli_4GHz_0121.d,20200320153650130-2492451,ctrl_p01_c2,water,P001:152 seq1 control,water,Batch7_0306 DATA,water
122 / P1_SRM_2048,122,20200306_ecoli_4GHz_0122.d,20200320153651147-2492452,20200306_Plate1_013,P1_SRM_2048,P001:153 seq1,srm,Batch7_0306 DATA,P1_SRM_2048
